# STN,YYYYMMDD,   TG,   TN,   TX
279,2021-06-23,14.1,10.9,18
279,2021-06-24,14.7,10.5,19.5
279,2021-06-25,15.5,7.7,20.5
279,2021-06-26,19.5,14.9,24.8
279,2021-06-27,19.7,13.5,25.7
279,2021-06-28,20.6,15.1,26.9
279,2021-06-29,16.6,15,18.9
279,2021-06-30,14.2,13.1,15.8
279,2021-07-01,16,13.2,21
279,2021-07-02,16.5,12.1,22
279,2021-07-03,18.7,10.6,24.8
279,2021-07-04,18.3,16.3,24
279,2021-07-05,17.2,14.1,20.7
279,2021-07-06,17.9,13.1,22.3
279,2021-07-07,17.2,12.4,23.3
279,2021-07-08,17.9,11.2,23.6
279,2021-07-09,18.4,13.9,23.4
279,2021-07-10,17.9,12.7,22.6
279,2021-07-11,19.6,14.2,24.8
279,2021-07-12,20.3,16.7,24.2
279,2021-07-13,19.6,17.9,21.2
279,2021-07-14,20.1,18.1,23.5
279,2021-07-15,18.4,16.3,19.9
279,2021-07-16,17.3,15,20.5
279,2021-07-17,19.3,13.9,24.5
279,2021-07-18,19.1,13.8,25.8
279,2021-07-19,16.2,10.8,20.9
279,2021-07-20,17,11.2,22.1
279,2021-07-21,18,10.6,23.3
279,2021-07-22,16.7,10.8,22
279,2021-07-23,16.2,10.9,20.2
279,2021-07-24,18.8,11.2,24.6
279,2021-07-25,19.4,16,24.7
279,2021-07-26,19.5,14.4,24.8
279,2021-07-27,18.7,15.5,23.4
279,2021-07-28,17.3,14.4,21.6
279,2021-07-29,16.6,11.8,20.8
279,2021-07-30,16.6,11.3,22.7
279,2021-07-31,16.8,13.7,20.9
279,2021-08-01,15,11.4,19
279,2021-08-02,15.1,9.8,20.1
279,2021-08-03,15.1,7.8,20
279,2021-08-04,16.6,11.1,21.8
279,2021-08-05,17.8,11.7,23.9
279,2021-08-06,17.8,13.8,21.4
279,2021-08-07,17.3,13.9,22.4
279,2021-08-08,16.5,14.2,19.8
279,2021-08-09,16,13,20.5
279,2021-08-10,16.1,11.1,20.8
279,2021-08-11,17.2,9.4,24.2
279,2021-08-12,18.7,11.3,24.9
279,2021-08-13,17.4,12.1,21.7
279,2021-08-14,17.5,12.8,22.5
279,2021-08-15,19,14.2,25.3
279,2021-08-16,15.7,13.1,17.9
279,2021-08-17,15.4,12.2,18.7
279,2021-08-18,16.7,13.6,20.1
279,2021-08-19,16.2,14.9,18.3
279,2021-08-20,17.1,12.6,21.8
279,2021-08-21,17.9,11.9,22.8
279,2021-08-22,18,14.7,21.6
279,2021-08-23,17.5,12,22.2
279,2021-08-24,16.3,11.1,22.1
279,2021-08-25,15.1,8.8,20.3
279,2021-08-26,15.9,12.8,20.7
279,2021-08-27,15,12.9,19.2
279,2021-08-28,16.2,14.1,19.2
279,2021-08-29,16.2,14.7,18.6
279,2021-08-30,17.5,13,21.7
279,2021-08-31,16.3,12.9,20.9
279,2021-09-01,15.4,9.4,18.2
279,2021-09-02,14.1,7.2,21.3
279,2021-09-03,14.2,8.2,20.6
279,2021-09-04,15.1,10.2,20.4
279,2021-09-05,14.2,6.9,21.2
279,2021-09-06,15.3,6.5,23.2
279,2021-09-07,17.9,12.4,25
279,2021-09-08,18.9,11.9,26.1
279,2021-09-09,19.8,12.3,27
279,2021-09-10,19.4,16.1,24.8
279,2021-09-11,17.8,15.3,20.2
279,2021-09-12,15.9,12.7,20.5
279,2021-09-13,15.1,10.5,18.9
279,2021-09-14,16.5,9.2,22.3
279,2021-09-15,17.7,14.8,21.6
279,2021-09-16,15.6,12.2,19.7
279,2021-09-17,15,10.3,20.1
279,2021-09-18,14.3,8.5,20.6
279,2021-09-19,14.2,9.5,18.1
279,2021-09-20,10.5,4.4,16.3
279,2021-09-21,13,6.4,18.1
279,2021-09-22,13.7,7.6,20.9
279,2021-09-23,14.4,10.1,18.4
279,2021-09-24,16.9,12.3,20.8
