"Gateway Receive Time","Air pressure (Pa)","PAR","Relative humidity (%)","Temperature","Soil Temperature","Soil Relative Permittivity","Soil Electric Conductivity (dS/m)","YYYYMMDD","   TG","   TN","   TX"," T10N","   RH","   PG","   PX","   PN","   UG","   UX","   UN"," EV24",,,,,
2021-06-23 00:09:45,"102.211",0,"43.6318359375","21.44",,,,2021-06-23,"14.1","10.9",18,"9.7",20,"102.19","102.26","102.03",80,95,69,29,,,,,1000
2021-06-23 00:50:27,"102.217",0,"43.7607421875","21.35",,,,2021-06-24,"14.7","10.5","19.5","8.8",0,"102.04","102.24","101.89",81,98,64,29,,,,,
2021-06-23 01:10:49,"102.22",0,"43.837890625","21.33",,,,2021-06-25,"15.5","7.7","20.5","6.5",-1,"101.77","101.9","101.69",83,99,60,25,,,,,
2021-06-23 01:49:55,"102.187",0,"44.0146484375","21.26",,,,2021-06-26,"19.5","14.9","24.8","14.8",0,"101.92","101.98","101.81",80,98,60,42,,,,,
2021-06-23 02:08:51,"102.197",0,"44.080078125","21.23",,,,2021-06-27,"19.7","13.5","25.7",13,0,"101.69","101.92","101.47",80,98,56,48,,,,,
2021-06-23 02:29:12,"102.218",0,"44.1572265625","21.19",,,,2021-06-28,"20.6","15.1","26.9",15,3,"101.35","101.52","101.19",83,97,60,33,,,,,
2021-06-23 03:30:16,"102.251",0,"44.43359375","21.1",,,,2021-06-29,"16.6",15,"18.9","14.8",8,"101.08","101.22","100.98",95,98,90,11,,,,,
2021-06-23 03:50:37,0,,,,,,,2021-06-30,"14.2","13.1","15.8","13.1",20,"101.14","101.33","100.95",96,98,89,7,,,,,
2021-06-23 03:53:22,"102.316",0,"39.314453125","20.75",,,,2021-07-01,16,"13.2",21,"13.1",42,"101.37","101.59","101.21",91,98,78,16,,,,,
2021-06-23 04:13:59,"102.269",0,"45.7138671875","19.84",,,,2021-07-02,"16.5","12.1",22,"10.5",-1,"101.67","101.78","101.53",86,98,63,24,,,,,
2021-06-23 04:34:20,"102.263",0,"46.9384765625","19.76",,,,2021-07-03,"18.7","10.6","24.8","8.8",4,"101.49","101.72","101.22",79,99,51,43,,,,,
