Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
"2021-06-23 00:29:05" 12 "2021-06-23 01:25:37" 18.9 2021-06-23 20
"2021-06-23 01:29:05" 11.9 "2021-06-23 02:25:37" 18.4 2021-06-24 0
"2021-06-23 02:29:04" 11.9 "2021-06-23 03:25:37" 17.9 2021-06-25 -1
"2021-06-23 03:29:03" 11.8 "2021-06-23 04:25:37" 17.6 2021-06-26 0
"2021-06-23 04:29:03" 11.7 "2021-06-23 05:25:37" 17.5 2021-06-27 0
"2021-06-23 05:29:03" 11.6 "2021-06-23 06:25:37" 17.5 2021-06-28 3
"2021-06-23 06:29:02" 11.6 "2021-06-23 07:25:37" 17.6 2021-06-29 8
"2021-06-23 07:29:02" 11.5 "2021-06-23 08:25:36" 17.6 2021-06-30 20
"2021-06-23 08:29:02" 11.4 "2021-06-23 09:25:36" 17.9 2021-07-01 42
"2021-06-23 09:29:01" 11.3 "2021-06-23 10:25:35" 18.3 2021-07-02 -1
"2021-06-23 10:29:01" 11.3 "2021-06-23 11:25:35" 18.5 2021-07-03 4
"2021-06-23 11:29:00" 11.2 "2021-06-23 12:25:35" 18.6 2021-07-04 48
"2021-06-23 12:29:00" 11.2 "2021-06-23 13:25:35" 18.6 2021-07-05 60
"2021-06-23 13:29:00" 11.1 "2021-06-23 14:25:35" 18.8 2021-07-06 18
"2021-06-23 14:28:59" 11 "2021-06-23 15:25:34" 19.1 2021-07-07 44
"2021-06-23 15:28:59" 11 "2021-06-23 16:25:34" 19.4 2021-07-08 7
"2021-06-23 16:28:59" 11 "2021-06-23 17:25:34" 19.5 2021-07-09 0
"2021-06-23 17:28:59" 11 "2021-06-23 18:25:34" 19.6 2021-07-10 -1
"2021-06-23 18:28:59" 11 "2021-06-23 19:25:33" 19.4 2021-07-11 3
"2021-06-23 19:28:57" 11 "2021-06-23 20:25:33" 19.2 2021-07-12 5
"2021-06-23 20:28:57" 11 "2021-06-23 21:25:33" 18.9 2021-07-13 8
"2021-06-23 21:28:57" 11 "2021-06-23 22:25:33" 18.5 2021-07-14 187
"2021-06-23 22:28:57" 11 "2021-06-23 23:25:32" 18.1 2021-07-15 44
"2021-06-23 23:28:56" 11 "2021-06-24 00:25:32" 17.6 2021-07-16 -1
"2021-06-24 00:28:56" 11 "2021-06-24 01:25:32" 17.1 2021-07-17 0
"2021-06-24 01:28:56" 11 "2021-06-24 02:25:32" 16.6 2021-07-18 0
"2021-06-24 02:28:54" 11 "2021-06-24 03:25:32" 16 2021-07-19 0
"2021-06-24 03:28:54" 10.9 "2021-06-24 04:25:32" 15.6 2021-07-20 0
"2021-06-24 04:28:54" 10.9 "2021-06-24 05:25:31" 15.1 2021-07-21 0
"2021-06-24 05:28:54" 10.8 "2021-06-24 06:25:31" 14.7 2021-07-22 0
"2021-06-24 06:28:54" 10.8 "2021-06-24 07:25:31" 14.4 2021-07-23 0
"2021-06-24 07:28:53" 10.7 "2021-06-24 08:25:30" 14.2 2021-07-24 237
"2021-06-24 08:28:53" 10.7 "2021-06-24 09:25:30" 14.3 2021-07-25 129
"2021-06-24 09:28:53" 10.6 "2021-06-24 10:25:30" 14.5 2021-07-26 2
"2021-06-24 10:28:53" 10.5 "2021-06-24 11:25:30" 14.7 2021-07-27 35
"2021-06-24 11:28:51" 10.5 "2021-06-24 12:25:30" 15 2021-07-28 8
"2021-06-24 12:28:51" 10.5 "2021-06-24 13:25:30" 15.2 2021-07-29 9
"2021-06-24 13:28:51" 10.4 "2021-06-24 14:25:29" 15.5 2021-07-30 93
"2021-06-24 14:28:51" 10.4 "2021-06-24 15:25:28" 15.8 2021-07-31 38
"2021-06-24 15:28:51" 10.4 "2021-06-24 16:25:28" 16.2 2021-08-01 86
"2021-06-24 16:28:50" 10.4 "2021-06-24 17:25:28" 16.6 2021-08-02 -1
"2021-06-24 17:28:50" 11.7 "2021-06-24 18:25:28" 16.7 2021-08-03 0
"2021-06-24 18:28:48" 13.6 "2021-06-24 19:25:28" 16.8 2021-08-04 0
"2021-06-24 19:28:48" 10.5 "2021-06-24 20:25:28" 17 2021-08-05 0
"2021-06-24 20:28:48" 10.5 "2021-06-24 21:25:28" 16.9 2021-08-06 42
"2021-06-24 21:28:48" 10.6 "2021-06-24 22:25:28" 16.7 2021-08-07 31
"2021-06-24 22:28:48" 10.6 "2021-06-24 23:25:26" 16.3 2021-08-08 79
"2021-06-24 23:28:47" 10.6 "2021-06-25 00:25:26" 15.9 2021-08-09 41
"2021-06-25 00:28:47" 10.6 "2021-06-25 01:25:26" 15.4 2021-08-10 39
"2021-06-25 01:28:47" 12 "2021-06-25 02:25:26" 14.9 2021-08-11 0
"2021-06-25 02:28:47" 10.9 "2021-06-25 03:25:26" 14.3 2021-08-12 -1
"2021-06-25 03:28:47" 10.8 "2021-06-25 04:25:26" 13.8 2021-08-13 0
"2021-06-25 04:28:46" 10.8 "2021-06-25 05:25:26" 13.2 2021-08-14 0
"2021-06-25 05:28:45" 10.8 "2021-06-25 06:25:26" 12.7 2021-08-15 0
"2021-06-25 06:28:45" 10.7 "2021-06-25 07:25:26" 12.3 2021-08-16 100
"2021-06-25 07:28:45" 10.7 "2021-06-25 08:25:25" 12.2 2021-08-17 -1
"2021-06-25 08:28:45" 10.6 "2021-06-25 09:25:24" 12.2 2021-08-18 -1
"2021-06-25 09:28:43" 10.5 "2021-06-25 10:25:24" 12.4 2021-08-19 27
"2021-06-25 10:28:43" 10.5 "2021-06-25 11:25:24" 12.6 2021-08-20 1
"2021-06-25 11:28:43" 10.4 "2021-06-25 12:25:24" 12.7 2021-08-21 0
"2021-06-25 12:28:43" 10.3 "2021-06-25 13:25:24" 12.8 2021-08-22 71
"2021-06-25 13:28:43" 10.3 "2021-06-25 14:25:24" 13.1 2021-08-23 0
"2021-06-25 14:28:42" 10.3 "2021-06-25 15:25:23" 13.3 2021-08-24 0
"2021-06-25 15:28:42" 10.3 "2021-06-25 16:25:23" 13.6 2021-08-25 6
"2021-06-25 16:28:42" 10.3 "2021-06-25 17:25:23" 13.7 2021-08-26 77
"2021-06-25 17:28:42" 10.3 "2021-06-25 18:25:22" 13.8 2021-08-27 35
"2021-06-25 18:28:40" 10.3 "2021-06-25 19:25:22" 13.8 2021-08-28 0
"2021-06-25 19:28:40" 10.3 "2021-06-25 20:25:22" 13.8 2021-08-29 22
"2021-06-25 20:28:40" 10.4 "2021-06-25 21:25:22" 13.6 2021-08-30 -1
"2021-06-25 21:28:39" 10.4 "2021-06-25 22:25:22" 13.4 2021-08-31 0
"2021-06-25 22:28:39" 10.4 "2021-06-25 23:25:21" 13.2 2021-09-01 0
"2021-06-25 23:28:39" 10.4 "2021-06-26 00:25:21" 12.8 2021-09-02 0
"2021-06-26 00:28:39" 10.4 "2021-06-26 01:25:21" 12.5 2021-09-03 0
"2021-06-26 01:28:38" 10.4 "2021-06-26 02:25:21" 12.3 2021-09-04 0
"2021-06-26 02:28:37" 10.4 "2021-06-26 03:25:20" 12.1 2021-09-05 0
"2021-06-26 03:28:37" 10.3 "2021-06-26 04:25:20" 11.9 2021-09-06 0
"2021-06-26 04:28:37" 10.3 "2021-06-26 05:25:20" 11.7 2021-09-07 0
"2021-06-26 05:28:36" 10.3 "2021-06-26 06:25:20" 11.5 2021-09-08 0
"2021-06-26 06:28:36" 10.3 "2021-06-26 07:25:19" 11.4 2021-09-09 -1
"2021-06-26 07:28:36" 10.2 "2021-06-26 08:25:19" 11.4 2021-09-10 32
"2021-06-26 08:28:36" 10.2 "2021-06-26 09:25:19" 11.4 2021-09-11 29
"2021-06-26 09:28:36" 10.2 "2021-06-26 10:25:19" 11.5 2021-09-12 -1
"2021-06-26 10:28:34" 10.1 "2021-06-26 11:25:19" 11.7 2021-09-13 -1
"2021-06-26 11:28:34" 10.1 "2021-06-26 12:25:19" 11.9 2021-09-14 3
"2021-06-26 12:28:34" 10 "2021-06-26 13:25:18" 12.1 2021-09-15 -1
"2021-06-26 13:28:33" 10 "2021-06-26 14:25:17" 12.4 2021-09-16 3
"2021-06-26 14:28:33" 10 "2021-06-26 15:25:17" 12.6 2021-09-17 -1
"2021-06-26 15:28:33" 10 "2021-06-26 16:25:17" 12.8 2021-09-18 0
"2021-06-26 16:28:33" 10 "2021-06-26 17:25:17" 13 2021-09-19 0
"2021-06-26 17:28:32" 10 "2021-06-26 18:25:17" 13 2021-09-20 0
"2021-06-26 18:28:32" 10.1 "2021-06-26 19:25:17" 12.9 2021-09-21 0
"2021-06-26 19:28:32" 10.1 "2021-06-26 20:25:17" 12.8 2021-09-22 0
"2021-06-26 20:28:30" 10.1 "2021-06-26 21:25:16" 12.7 2021-09-23 6
"2021-06-26 21:28:30" 10.2 "2021-06-26 22:25:15" 12.4 2021-09-24 -1
"2021-06-26 22:28:30" 10.2 "2021-06-26 23:25:15" 12  
"2021-06-26 23:28:30" 10.2 "2021-06-27 00:25:15" 11.7  
"2021-06-27 00:28:29" 10.2 "2021-06-27 01:25:15" 11.4  
"2021-06-27 01:28:29" 10.2 "2021-06-27 02:25:15" 11.1  
"2021-06-27 02:28:29" 10.2 "2021-06-27 03:25:15" 10.8  
"2021-06-27 03:28:29" 10.2 "2021-06-27 04:25:15" 10.5  
"2021-06-27 04:28:29" 10.2 "2021-06-27 05:25:14" 10.4  
"2021-06-27 05:28:28" 10.2 "2021-06-27 06:25:14" 10.2  
"2021-06-27 06:28:27" 10.1 "2021-06-27 07:25:13" 10  
"2021-06-27 07:28:27" 10.1 "2021-06-27 08:25:13" 9.9  
"2021-06-27 08:28:27" 10.1 "2021-06-27 09:25:13" 9.9  
"2021-06-27 09:28:27" 10 "2021-06-27 10:25:13" 9.9  
"2021-06-27 10:28:26" 10 "2021-06-27 11:25:13" 10  
"2021-06-27 11:28:24" 9.9 "2021-06-27 12:25:13" 10.1  
"2021-06-27 12:28:24" 9.9 "2021-06-27 13:25:12" 10.1  
"2021-06-27 13:28:24" 9.8 "2021-06-27 14:25:12" 10.2  
"2021-06-27 14:28:24" 9.7 "2021-06-27 15:25:12" 10.2  
"2021-06-27 15:28:24" 9.7 "2021-06-27 16:25:12" 10.2  
"2021-06-27 16:28:24" 9.7 "2021-06-27 17:25:11" 10.2  
"2021-06-27 17:28:22" 9.7 "2021-06-27 18:25:11" 10.2  
"2021-06-27 18:28:22" 9.7 "2021-06-27 19:25:11" 10.1  
"2021-06-27 19:28:22" 9.7 "2021-06-27 20:25:10" 10.1  
"2021-06-27 20:28:22" 9.8 "2021-06-27 21:25:10" 10.1  
"2021-06-27 21:28:22" 9.8 "2021-06-27 22:25:10" 10  
