Datum1 sensor1 Datum2 sensor2 YYYYMMDD precipitation
2021-06-23 12 2021-06-23 18,9 2021-06-23 20
2021-06-23 11,9 2021-06-23 18,4 2021-06-24 0
2021-06-23 11,9 2021-06-23 17,9 2021-06-25 -1
2021-06-23 11,8 2021-06-23 17,6 2021-06-26 0
2021-06-23 11,7 2021-06-23 17,5 2021-06-27 0
2021-06-23 11,6 2021-06-23 17,5 2021-06-28 3
2021-06-23 11,6 2021-06-23 17,6 2021-06-29 8
2021-06-23 11,5 2021-06-23 17,6 2021-06-30 20
2021-06-23 11,4 2021-06-23 17,9 2021-07-01 42
2021-06-23 11,3 2021-06-23 18,3 2021-07-02 -1
2021-06-23 11,3 2021-06-23 18,5 2021-07-03 4
2021-06-23 11,2 2021-06-23 18,6 2021-07-04 48
2021-06-23 11,2 2021-06-23 18,6 2021-07-05 60
2021-06-23 11,1 2021-06-23 18,8 2021-07-06 18
2021-06-23 11 2021-06-23 19,1 2021-07-07 44
2021-06-23 11 2021-06-23 19,4 2021-07-08 7
2021-06-23 11 2021-06-23 19,5 2021-07-09 0
2021-06-23 11 2021-06-23 19,6 2021-07-10 -1
2021-06-23 11 2021-06-23 19,4 2021-07-11 3
2021-06-23 11 2021-06-23 19,2 2021-07-12 5
2021-06-23 11 2021-06-23 18,9 2021-07-13 8
2021-06-23 11 2021-06-23 18,5 2021-07-14 187
2021-06-23 11 2021-06-23 18,1 2021-07-15 44
2021-06-23 11 2021-06-24 17,6 2021-07-16 -1
2021-06-24 11 2021-06-24 17,1 2021-07-17 0
2021-06-24 11 2021-06-24 16,6 2021-07-18 0
2021-06-24 11 2021-06-24 16 2021-07-19 0
2021-06-24 10,9 2021-06-24 15,6 2021-07-20 0
2021-06-24 10,9 2021-06-24 15,1 2021-07-21 0
2021-06-24 10,8 2021-06-24 14,7 2021-07-22 0
2021-06-24 10,8 2021-06-24 14,4 2021-07-23 0
2021-06-24 10,7 2021-06-24 14,2 2021-07-24 237
2021-06-24 10,7 2021-06-24 14,3 2021-07-25 129
2021-06-24 10,6 2021-06-24 14,5 2021-07-26 2
2021-06-24 10,5 2021-06-24 14,7 2021-07-27 35
2021-06-24 10,5 2021-06-24 15 2021-07-28 8
2021-06-24 10,5 2021-06-24 15,2 2021-07-29 9
2021-06-24 10,4 2021-06-24 15,5 2021-07-30 93
2021-06-24 10,4 2021-06-24 15,8 2021-07-31 38
2021-06-24 10,4 2021-06-24 16,2 2021-08-01 86
