Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_tollebeek,precipitation
2021-06-23 23:08:50,29.3,33.8,31.4,2021-06-23 00:03,0
2021-06-23 22:08:50,29.3,33.7,31.4,2021-06-23 00:18,0
2021-06-23 21:08:50,29.2,33.8,31.4,2021-06-23 00:33,0
2021-06-23 20:08:50,29.3,33.8,31.4,2021-06-23 00:48,0
2021-06-23 19:08:50,29.3,33.9,31.4,2021-06-23 01:04,0
2021-06-23 18:08:50,29.3,33.8,31.4,2021-06-23 01:19,0
2021-06-23 17:08:50,29.3,33.7,31.4,2021-06-23 01:34,0
2021-06-23 16:08:50,29.4,33.7,31.4,2021-06-23 01:49,0
2021-06-23 15:08:50,29.4,33.7,31.3,2021-06-23 02:04,0
2021-06-23 14:08:50,29.4,33.8,31.3,2021-06-23 02:19,0
2021-06-23 13:08:50,29.4,33.8,31.4,2021-06-23 02:34,0
2021-06-23 12:08:50,29.6,33.8,31.4,2021-06-23 02:49,0
2021-06-23 11:08:50,29.6,33.8,31.5,2021-06-23 03:04,0
2021-06-23 10:08:50,29.8,33.9,31.5,2021-06-23 03:19,0
2021-06-23 09:08:50,29.9,33.9,31.5,2021-06-23 03:34,0
2021-06-23 08:08:50,30,33.8,31.5,2021-06-23 03:49,0
2021-06-23 07:08:50,29.9,33.8,31.4,2021-06-23 04:04,0
2021-06-23 06:08:50,30,33.9,31.5,2021-06-23 04:19,0
2021-06-23 05:08:50,30,33.9,31.6,2021-06-23 04:34,0
2021-06-23 04:08:50,30,34,31.6,2021-06-23 04:49,0
2021-06-23 03:08:50,30.1,34,31.6,2021-06-23 05:04,0
2021-06-23 02:08:50,30,34.1,31.6,2021-06-23 05:19,0
2021-06-23 01:08:50,30,34.1,31.7,2021-06-23 05:34,0
2021-06-23 00:08:50,30,34.1,31.6,2021-06-23 05:49,0
2021-06-24 23:08:50,29,33.6,31.2,2021-06-23 06:04,0
2021-06-24 22:08:50,28.9,33.6,31.2,2021-06-23 06:19,0
2021-06-24 21:08:50,28.9,33.7,31.2,2021-06-23 06:34,0
2021-06-24 20:08:50,29,33.6,31.1,2021-06-23 06:49,0
2021-06-24 19:08:50,29,33.6,31.1,2021-06-23 07:04,0
2021-06-24 18:08:50,28.9,33.6,31.1,2021-06-23 07:19,0
2021-06-24 17:08:50,28.7,33.4,31,2021-06-23 07:35,0
2021-06-24 16:08:50,28.8,33.4,31,2021-06-23 07:50,0
2021-06-24 15:08:50,28.8,33.4,31,2021-06-23 08:05,0
2021-06-24 14:08:50,28.9,33.3,31,2021-06-23 08:20,0
2021-06-24 13:08:50,29,33.4,31.1,2021-06-23 08:35,0
2021-06-24 12:08:50,29,33.3,31,2021-06-23 08:50,0
2021-06-24 11:08:50,29.1,33.4,31.1,2021-06-23 09:05,0
2021-06-24 10:08:50,29,33.4,31.1,2021-06-23 09:20,0
2021-06-24 09:08:50,29.1,33.4,31.1,2021-06-23 09:35,0
2021-06-24 08:08:50,29,33.3,31,2021-06-23 09:50,0
2021-06-24 07:08:50,29.2,33.5,31.2,2021-06-23 10:05,0
2021-06-24 06:08:50,29.2,33.5,31.1,2021-06-23 10:20,0
2021-06-24 05:08:50,29.1,33.5,31.2,2021-06-23 10:35,0
2021-06-24 04:08:50,29.3,33.7,31.3,2021-06-23 10:50,0
2021-06-24 03:08:50,29.4,33.7,31.4,2021-06-23 11:05,0
2021-06-24 02:08:50,29.3,33.7,31.4,2021-06-23 11:20,0
2021-06-24 01:08:50,29.3,33.8,31.3,2021-06-23 11:35,0
2021-06-24 00:08:50,29.3,33.7,31.4,2021-06-23 11:50,0
2021-06-25 23:08:52,28.4,33.2,31,2021-06-23 12:05,0
2021-06-25 22:08:52,28.4,33.3,31,2021-06-23 12:20,0
2021-06-25 21:08:52,28.4,33.2,31.1,2021-06-23 12:35,0
2021-06-25 20:08:52,28.4,33.2,31,2021-06-23 12:50,0
2021-06-25 19:08:50,28.3,33.3,31,2021-06-23 13:05,0
2021-06-25 18:08:50,28.4,33.2,31.1,2021-06-23 13:20,0
2021-06-25 17:08:50,28.3,33.2,31,2021-06-23 13:35,0
2021-06-25 16:08:50,28.4,33.2,31,2021-06-23 13:50,0
2021-06-25 15:08:50,28.3,33.2,30.9,2021-06-23 14:05,0
2021-06-25 14:08:50,28.5,33.2,30.9,2021-06-23 14:20,0
2021-06-25 13:08:50,28.4,33.2,30.9,2021-06-23 14:35,0
2021-06-25 12:08:50,28.6,33.1,30.9,2021-06-23 14:50,0
2021-06-25 11:08:50,28.5,33,30.8,2021-06-23 15:06,0
2021-06-25 10:08:50,28.5,33,30.8,2021-06-23 15:21,0
2021-06-25 09:08:50,28.6,33.1,30.9,2021-06-23 15:36,0
2021-06-25 08:08:50,28.5,33.1,30.8,2021-06-23 15:51,0
2021-06-25 07:08:50,28.7,33.3,31,2021-06-23 16:06,0
2021-06-25 06:08:50,28.7,33.3,31,2021-06-23 16:21,0
2021-06-25 05:08:50,28.7,33.4,31.1,2021-06-23 16:36,0
2021-06-25 04:08:50,28.6,33.3,31.1,2021-06-23 16:51,0
2021-06-25 03:08:50,28.8,33.6,31.2,2021-06-23 17:06,0
2021-06-25 02:08:50,28.9,33.5,31.2,2021-06-23 17:21,0
2021-06-25 01:08:50,28.9,33.5,31.2,2021-06-23 17:36,0
2021-06-25 00:08:50,29,33.6,31.2,2021-06-23 17:51,0
2021-06-26 23:08:51,28.6,33.2,31.1,2021-06-23 18:06,0
2021-06-26 22:08:51,28.5,33.2,31.1,2021-06-23 18:21,0
2021-06-26 21:08:51,28.4,33.2,31.1,2021-06-23 18:36,0
2021-06-26 20:08:51,28.5,33.3,31.1,2021-06-23 18:51,0
2021-06-26 19:08:52,28.5,33.2,31.1,2021-06-23 19:06,0
2021-06-26 18:08:52,28.4,33.2,31.1,2021-06-23 19:21,0
2021-06-26 17:08:52,28.4,33.2,31.1,2021-06-23 19:36,0
2021-06-26 16:08:52,28.3,33.1,31,2021-06-23 19:51,0
2021-06-26 15:08:52,28.4,33,30.9,2021-06-23 20:06,0
2021-06-26 14:08:52,28.5,33.1,30.9,2021-06-23 20:21,0
2021-06-26 13:08:52,28.5,33,30.9,2021-06-23 20:36,0
2021-06-26 12:08:52,28.4,33,30.9,2021-06-23 20:51,0
2021-06-26 11:08:52,28.4,33,30.9,2021-06-23 21:06,0
2021-06-26 10:08:52,28.5,32.9,30.9,2021-06-23 21:21,0
2021-06-26 09:08:52,28.3,32.9,30.8,2021-06-23 21:36,0
2021-06-26 08:08:52,28.2,32.9,30.8,2021-06-23 21:51,0
2021-06-26 07:08:52,28.4,33,30.9,2021-06-23 22:06,0
2021-06-26 06:08:52,28.4,33,30.9,2021-06-23 22:21,0
2021-06-26 05:08:52,28.4,33,31,2021-06-23 22:36,0
2021-06-26 04:08:52,28.4,33.1,30.9,2021-06-23 22:51,0
2021-06-26 03:08:52,28.5,33.2,31,2021-06-23 23:06,0
2021-06-26 02:08:52,28.5,33.2,31,2021-06-23 23:21,0
2021-06-26 01:08:52,28.4,33.1,31,2021-06-23 23:36,0
2021-06-26 00:08:52,28.4,33.2,31,2021-06-23 23:51,0
2021-06-27 23:08:52,28.5,33.1,31.1,2021-06-24 00:06,0
2021-06-27 22:08:52,28.5,33.1,31.2,2021-06-24 00:21,0
2021-06-27 21:08:52,28.5,33.1,31.1,2021-06-24 00:36,0
2021-06-27 20:08:52,28.3,33.1,31.1,2021-06-24 00:52,0
2021-06-27 19:08:51,28.3,33.1,31,2021-06-24 01:07,0
2021-06-27 18:08:51,28.3,33.1,31,2021-06-24 01:22,0
2021-06-27 17:08:51,28.2,33,30.9,2021-06-24 01:37,0
2021-06-27 16:08:51,28.2,33,30.9,2021-06-24 01:52,0
2021-06-27 15:08:51,28.2,32.9,30.9,2021-06-24 02:07,0
2021-06-27 14:08:51,28.3,33,30.9,2021-06-24 02:22,0
2021-06-27 13:08:51,28.4,32.9,30.8,2021-06-24 02:37,0
2021-06-27 11:08:51,28.5,32.9,31,2021-06-24 02:52,0
2021-06-27 10:08:51,28.4,32.8,30.9,2021-06-24 03:07,0
2021-06-27 09:08:51,28.3,32.8,30.9,2021-06-24 03:22,0
2021-06-27 08:08:51,28.4,32.9,30.9,2021-06-24 03:37,0
2021-06-27 07:08:51,28.5,32.9,30.9,2021-06-24 03:52,0
2021-06-27 06:08:51,28.5,32.9,30.9,2021-06-24 04:07,0
2021-06-27 05:08:51,28.5,33,31,2021-06-24 04:22,0
2021-06-27 04:08:51,28.6,33.1,31.1,2021-06-24 04:37,0
2021-06-27 03:08:51,28.6,33.1,31.1,2021-06-24 04:53,0
2021-06-27 02:08:51,28.7,33.1,31.1,2021-06-24 05:08,0
2021-06-27 01:08:51,28.6,33.2,31.1,2021-06-24 05:23,0
2021-06-27 00:08:51,28.5,33.1,31.1,2021-06-24 05:38,0
2021-06-28 23:08:51,31.9,33.7,32.3,2021-06-24 05:53,0
2021-06-28 22:08:51,32,33.6,32.3,2021-06-24 06:08,0
2021-06-28 21:08:51,31.7,33.6,32.2,2021-06-24 06:23,0
2021-06-28 20:08:51,31.6,33.5,32.2,2021-06-24 06:38,0
2021-06-28 19:08:52,31.5,33.5,32.2,2021-06-24 06:53,0
2021-06-28 18:08:52,28.3,32.8,31,2021-06-24 07:08,0
2021-06-28 17:08:52,28.2,32.7,30.9,2021-06-24 07:24,0
2021-06-28 16:08:52,28.3,32.8,31,2021-06-24 07:39,0
2021-06-28 15:08:52,28.2,32.8,31,2021-06-24 07:54,0
2021-06-28 14:08:52,28.2,32.7,30.9,2021-06-24 08:09,0
2021-06-28 13:08:52,28.3,32.8,30.9,2021-06-24 08:24,0
2021-06-28 12:08:52,28.6,32.8,31,2021-06-24 08:39,0
2021-06-28 11:08:52,28.7,32.7,30.9,2021-06-24 08:54,0
2021-06-28 10:08:52,28.6,32.7,30.9,2021-06-24 09:09,0
2021-06-28 09:08:52,28.5,32.7,30.9,2021-06-24 09:24,0
2021-06-28 08:08:52,28.4,32.7,30.9,2021-06-24 09:39,0
2021-06-28 07:08:52,28.5,32.7,30.9,2021-06-24 09:54,0
2021-06-28 06:08:52,28.5,32.7,31,2021-06-24 10:10,0
2021-06-28 05:08:52,28.6,32.9,31,2021-06-24 10:25,0
2021-06-28 04:08:52,28.7,33,31.1,2021-06-24 10:40,0
2021-06-28 03:08:52,28.6,33,31.1,2021-06-24 10:55,0
