Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_uitheizen,precipitation
2021-06-23 23:25:22,28.1,33,29.8,2021-06-23 00:04,0
2021-06-23 22:25:22,28.1,33,29.7,2021-06-23 00:14,0
2021-06-23 21:25:22,28.2,33,29.7,2021-06-23 00:24,0
2021-06-23 19:25:22,28.2,33,29.7,2021-06-23 00:34,0
2021-06-23 18:25:22,28.3,33,29.9,2021-06-23 00:44,0
2021-06-23 17:25:23,28.2,33,29.7,2021-06-23 00:54,0
2021-06-23 16:25:23,28.2,33,29.7,2021-06-23 01:04,0
2021-06-23 14:25:23,28.2,32.9,29.7,2021-06-23 01:14,0
2021-06-23 13:25:23,28.2,33,29.8,2021-06-23 01:24,0
2021-06-23 12:25:23,28.3,32.9,29.7,2021-06-23 01:34,0
2021-06-23 11:25:23,28.3,33.1,29.9,2021-06-23 01:44,0
2021-06-23 10:25:23,28.4,33.1,29.9,2021-06-23 01:54,0
2021-06-23 09:25:23,28.3,33.1,29.8,2021-06-23 02:04,0
2021-06-23 08:25:23,28.8,33.1,29.9,2021-06-23 02:14,0
2021-06-23 07:25:23,29,33.1,29.9,2021-06-23 02:24,0
2021-06-23 05:25:23,28.5,33.1,29.9,2021-06-23 02:34,0
2021-06-23 03:25:23,28.5,33.1,29.9,2021-06-23 02:44,0
2021-06-23 02:25:23,28.5,33.1,29.9,2021-06-23 02:54,0
2021-06-23 01:25:23,28.6,33.2,29.9,2021-06-23 03:04,0
2021-06-24 23:28:16,27.9,32.9,29.7,2021-06-23 03:14,0
2021-06-24 22:28:16,27.8,32.8,29.6,2021-06-23 03:24,0
2021-06-24 20:28:16,27.8,32.8,29.6,2021-06-23 03:34,0
2021-06-24 19:28:16,27.8,32.7,29.6,2021-06-23 03:44,0
2021-06-24 18:28:17,27.8,32.7,29.5,2021-06-23 03:54,0
2021-06-24 17:28:17,27.7,32.7,29.5,2021-06-23 04:04,0
2021-06-24 16:28:17,27.7,32.7,29.6,2021-06-23 04:14,0
2021-06-24 15:25:22,27.8,32.7,29.5,2021-06-23 04:24,0
2021-06-24 11:25:22,27.7,32.6,29.5,2021-06-23 04:34,0
2021-06-24 10:25:22,27.9,32.7,29.5,2021-06-23 04:44,0
2021-06-24 09:25:22,27.8,32.7,29.6,2021-06-23 04:54,0
2021-06-24 08:25:22,27.9,32.7,29.5,2021-06-23 05:04,0
2021-06-24 07:25:22,28,32.8,29.6,2021-06-23 05:14,0
2021-06-24 06:25:22,28,32.9,29.7,2021-06-23 05:24,0
2021-06-24 05:25:22,28.1,32.9,29.7,2021-06-23 05:34,0
2021-06-24 03:25:22,28.1,32.9,29.7,2021-06-23 05:44,0
2021-06-24 02:25:22,28.1,33,29.7,2021-06-23 05:54,0
2021-06-25 23:28:15,27.5,32.5,29.5,2021-06-23 06:04,0
2021-06-25 22:28:15,27.4,32.5,29.4,2021-06-23 06:14,0
2021-06-25 21:28:15,27.4,32.5,29.4,2021-06-23 06:24,0
2021-06-25 19:28:15,27.4,32.5,29.4,2021-06-23 06:34,0
2021-06-25 18:28:16,27.4,32.5,29.4,2021-06-23 06:44,0
2021-06-25 17:28:16,27.3,32.4,29.4,2021-06-23 06:54,0
2021-06-25 15:28:16,27.4,32.4,29.3,2021-06-23 07:04,0
2021-06-25 14:28:16,27.4,32.3,29.3,2021-06-23 07:14,0
2021-06-25 13:28:16,27.4,32.4,29.3,2021-06-23 07:24,0
2021-06-25 11:28:16,27.4,32.4,29.3,2021-06-23 07:34,0
2021-06-25 10:28:16,27.4,32.4,29.4,2021-06-23 07:44,0
